polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PP,small microplastic,fiber,UV-aged,216,0.6659109749369337,0.6144373884677863,0.3028427230068068,0.4106524150758113,0.44881333198109974,0.4251880430240267,0.4631464279392732,0.8049673438241052
PS,larger microplastic,fragment,oxidized,216,0.7114617456106956,0.6241194046456168,0.2833650140511888,0.4153174659799502,0.45579919814815306,0.4240524538409908,0.46113506708388646,0.7968815017405899
PET,submicron-to-small,sphere,oxidized,216,0.6903359437113745,0.620826316358965,0.2968188727033797,0.4057545119624106,0.45172153073588617,0.4234320455412497,0.4607694138110798,0.7877118973478333
PET,small microplastic,fragment,oxidized,216,0.6956644951750494,0.6227221886879486,0.28545599551098216,0.41286770018534,0.4521998964023239,0.4225757996635102,0.4607325745888724,0.7924115283020329
PE,nano-scale,fragment,pristine,432,0.5705738158794533,0.5967274841458255,0.3325131126559959,0.3946928424519606,0.4299881941396024,0.4216566618895166,0.4600865482837191,0.7975858910598285
PE,larger microplastic,fiber,oxidized,216,0.6951650643115947,0.6173053464925211,0.28778214504641864,0.40899663954374676,0.45122274118006395,0.42286010519835543,0.459912978341061,0.8003484081220409
PET,nano-scale,sphere,UV-aged,432,0.6694598540165415,0.6205002163907994,0.2932053221322056,0.40335161337904823,0.44616520799248566,0.42074896915435045,0.4595581702086697,0.7780732431202593
PE,submicron-to-small,sphere,UV-aged,216,0.6478490864461142,0.603024128644847,0.32554756096650156,0.3946811618367321,0.4445284216436715,0.42450249896506825,0.45866173467286364,0.7978588353014331
PVC,larger microplastic,fiber,oxidized,216,0.7081896409514085,0.624529001280036,0.26958841048011556,0.41379732429440375,0.4516231975964312,0.4197477644239806,0.4585570608724082,0.7870720545264611
PET,small microplastic,fiber,UV-aged,216,0.6622486452755004,0.61791614301549,0.27903309052642045,0.41051161099391,0.44278489011030636,0.4178299195669118,0.4577874678057641,0.7858826933055577
PP,larger microplastic,fiber,oxidized,216,0.6929400643115947,0.6157559254355841,0.28226714207181114,0.40617804459330104,0.4484712113582772,0.42006065220175987,0.45699823142687196,0.794325275512567
PS,larger microplastic,fiber,UV-aged,216,0.6761623005616967,0.6189687441553966,0.2734000679129125,0.411397971909264,0.44476215714392914,0.41785084612000667,0.4569138057498358,0.7875678379558675
PS,small microplastic,sphere,oxidized,216,0.6939047528630486,0.6146754667749795,0.2952591324948867,0.4040171294785336,0.4506203385230349,0.4218515460065159,0.4564255988930799,0.7925436917122639
PP,nano-scale,fragment,pristine,432,0.5683488158794533,0.595189296214604,0.3244345323981409,0.39110196093083854,0.4264941957009306,0.4179862754973866,0.45638885333086343,0.7901141961254019
PE,submicron-to-small,fiber,pristine,216,0.5591497554647601,0.5917546532082996,0.32451055631697723,0.3931042584340836,0.42464054983135424,0.41773871063574325,0.45625540242642343,0.7961108428298826
PP,submicron-to-small,sphere,UV-aged,216,0.6456240864461142,0.6014765554326781,0.31810348800432414,0.39127262304991084,0.44122007018674914,0.421051220440989,0.4551499670516237,0.7924780190618328
PE,small microplastic,fragment,UV-aged,216,0.6518281443565175,0.6043205279153903,0.30383606710415756,0.3982326683870157,0.44142511833955894,0.4198536182924651,0.45496281216155443,0.79601489019785
PVC,nano-scale,fragment,pristine,432,0.5842842935845295,0.6041646197830759,0.2985354927502742,0.3948831794145843,0.425856215769329,0.41322509350551895,0.453924567993155,0.7731325588985436
PVC,submicron-to-small,sphere,UV-aged,216,0.6611871635652803,0.6103993797989516,0.2956149984556229,0.3960991122207039,0.44155582787270603,0.4175288680339293,0.45375896203709454,0.7785117246548469
PP,submicron-to-small,fiber,pristine,216,0.5569247554647601,0.590199352701939,0.31746511436923713,0.3898466773216115,0.4214735032801081,0.414431784773724,0.4528765931450974,0.7891061739734904
PVC,small microplastic,fragment,UV-aged,216,0.6649102716035995,0.6116745994340681,0.2816750391414447,0.40196816483882286,0.44071354201536084,0.41548691371868135,0.45249602163762154,0.7800178350240747
PET,larger microplastic,fiber,oxidized,216,0.6892396409514085,0.6191503126962326,0.26122462904168736,0.406831923184574,0.44324487522178413,0.4136436488401867,0.4524354209274791,0.7736025667413743
PVC,submicron-to-small,fiber,pristine,216,0.5723933734665331,0.5991808352942514,0.2973485511407985,0.3954171943154197,0.4225297738820444,0.4116482697828499,0.4523004201504551,0.7782762620862547
PS,submicron-to-small,fragment,pristine,216,0.5742341915331137,0.597854911345818,0.30483041378063547,0.3941871968992228,0.4241322828871058,0.41334983660438973,0.4522745722615255,0.7821675396478585
PP,small microplastic,fragment,UV-aged,216,0.6496031443565174,0.6027629042934125,0.2975830822625574,0.3952023083662905,0.4384659788319439,0.41681372592454075,0.4518187921137148,0.789904864408436
PE,larger microplastic,fragment,oxidized,216,0.6790967190218393,0.6055688002116169,0.28493732744441763,0.39439249271434196,0.44165838744960223,0.41532355572465746,0.4492691987906325,0.785075082953578
PVC,larger microplastic,fragment,oxidized,216,0.6921335325578993,0.6128392501496828,0.26560832060683603,0.39894179523439527,0.4417699336599629,0.4119204298544448,0.4476179808312209,0.7696045782140076
PET,nano-scale,fragment,pristine,432,0.5653342935845295,0.59884249092501,0.2871620872655124,0.3870998844634532,0.4165872979073036,0.40609448110236573,0.44691960286999555,0.7574008550965672
PET,submicron-to-small,sphere,UV-aged,216,0.6422371635652803,0.6050372863162413,0.2848609842188644,0.3884568814172698,0.43246510439949193,0.410618783777695,0.4469067687634567,0.7634352125534319
PP,larger microplastic,fragment,oxidized,216,0.6768717190218394,0.6040159624622391,0.2791989698036839,0.39153504806056316,0.43884950909608633,0.4124643945913089,0.4462896861137908,0.7776401118681375
PS,larger microplastic,fragment,UV-aged,216,0.6601096991737231,0.6072580166948276,0.26996423143677495,0.39672379670043906,0.43507238392994757,0.41019870082757237,0.44612849291659135,0.7706274038302989
PET,small microplastic,fragment,UV-aged,216,0.6459602716035994,0.6062661094077322,0.2723895899100699,0.39476767550936565,0.43206136221408975,0.4090710717749972,0.4460717020278714,0.7658714225776894
