risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
47,SIM048078,EXP0072,MP0153,PE,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7959192814162508,0.7859959247851088,0.9949392019365773,0.8911368072078379,0.8849044426805024,0.8993336775379169,0.9080647923838044,0.9178308682822042,0.8531067420838716,severe,lymphatic burden dominated
48,SIM047978,EXP0072,MP0053,PET,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7836662493136667,0.7906031249851573,0.9738315976316342,0.8979119830640837,0.8814050996747769,0.8940808525801525,0.9006842260741745,0.9130629375616213,0.8528900888166786,severe,lymphatic burden dominated
49,SIM047412,EXP0071,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8165305399351886,0.7839170788382944,0.9900639479697628,0.9008934958286847,0.8872806280103568,0.8950179047511175,0.8901411898923134,0.9165860430585774,0.8528724727593111,severe,lymphatic burden dominated
50,SIM048105,EXP0072,MP0180,PE,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7942292915226372,0.78532230874521,0.9950590670532836,0.8907436041281425,0.8843648494936918,0.8990049939165591,0.9078289367124569,0.9175320643479962,0.8527738543910437,severe,lymphatic burden dominated
51,SIM048345,EXP0072,MP0420,PS,0.05,nano-scale,fragment,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7828031334045691,0.7891116915488531,0.9826185673033084,0.8971819126369608,0.8823171752009129,0.8963498206117412,0.9070564447128214,0.9157918328154104,0.8524177556616178,severe,lymphatic burden dominated
52,SIM047439,EXP0071,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8144414529037053,0.783070938444301,0.99006777380715,0.9003900915349057,0.886584703384657,0.8945971847550065,0.8896266095316546,0.9161529084562342,0.8524100612056865,severe,lymphatic burden dominated
53,SIM048372,EXP0072,MP0447,PS,0.1,nano-scale,fragment,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.781044355373351,0.7884316215794775,0.9831200069360664,0.89681491159941,0.8818279798719005,0.8962184057789089,0.9068585096708786,0.9156182448932344,0.8521930245045345,severe,lymphatic burden dominated
54,SIM048213,EXP0072,MP0288,PP,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7936942814162509,0.7844303840453888,0.992925844205648,0.8903231129098313,0.8836754914589982,0.898598998199982,0.9075174468467724,0.916911685416128,0.8516570436511739,severe,lymphatic burden dominated
55,SIM048240,EXP0072,MP0315,PP,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7920042915226373,0.7837551681628391,0.9930615223570496,0.8899311448949004,0.883138396950806,0.8982712053249009,0.9072813579051651,0.9166157944366594,0.8513261382322567,severe,lymphatic burden dominated
56,SIM048352,EXP0072,MP0427,PS,0.05,nano-scale,fiber,UV-aged,neutral,high,10.0,365,barrier-impaired,high-fat,0.7396220603469355,0.776563687828011,0.9944656662376552,0.8883421728295442,0.8713292207661769,0.8936361856961932,0.9045926703104711,0.9120162524158097,0.8508037099086309,severe,lymphatic burden dominated
