polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_mucus_retention,mean_P_Mcell,mean_gut_to_lymph,mean_MLN_retention,mean_interaction_risk
PVC,small microplastic,sphere,UV-aged,216,0.6248423446054123,0.6080817940003522,0.49877604995021074,0.5484725071184671,0.5358750854688735,0.5868759781663286
PVC,submicron-to-small,fragment,pristine,216,0.5547845366300455,0.5307455272424514,0.6284647032201972,0.5443268497478828,0.5796313882576981,0.5865212517603094
PS,small microplastic,fiber,pristine,216,0.552817233383533,0.7136776970765558,0.39938560111417976,0.5141245530828984,0.6080706992582029,0.5846304635812832
PET,larger microplastic,sphere,oxidized,216,0.6333962537474165,0.655673644199048,0.40683919847509625,0.5373698217156717,0.5285442798480349,0.5827528884793797
PS,larger microplastic,sphere,UV-aged,216,0.6203224203632404,0.6848570045591207,0.4038788811279034,0.5372933985835284,0.5345213529083919,0.5825581022846698
PET,small microplastic,sphere,UV-aged,216,0.6058923446054123,0.5923970113916567,0.4948271843245538,0.5411508909090308,0.5336786006060427,0.5814666556877618
PET,submicron-to-small,fragment,pristine,216,0.5358345366300454,0.5150607446337557,0.6247670639578657,0.5370806014474442,0.5774575137675666,0.5811338688800518
PE,larger microplastic,sphere,oxidized,216,0.6393094402113566,0.7269557233181106,0.399377541273276,0.5523877403789383,0.5130496554470149,0.5808607817986565
PE,small microplastic,sphere,UV-aged,216,0.6117508690684276,0.6638815423659961,0.48668335854274536,0.5560046493693561,0.5181347281441402,0.5795122097326052
PP,larger microplastic,sphere,oxidized,216,0.6370844402113565,0.7142709407094151,0.3984299177046494,0.5488164967866112,0.5119782823693166,0.5793061927889301
PE,submicron-to-small,fragment,pristine,216,0.5414940335512113,0.5872824146519817,0.6157170831370274,0.551809941204838,0.5618763156947847,0.5790902190859972
PP,small microplastic,sphere,UV-aged,216,0.6095258690684275,0.6511967597573003,0.4856968110237404,0.5524217285919155,0.517059851910908,0.5779542214942923
PP,submicron-to-small,fragment,pristine,216,0.5392690335512113,0.5745976320432862,0.6147819166108798,0.5482424347252545,0.5608060637509097,0.5775367179497904
PVC,nano-scale,sphere,pristine,432,0.5401684705731283,0.4112250311569589,0.7481965462146606,0.5547073034291232,0.5377455243620703,0.5767438266855438
PVC,small microplastic,fiber,pristine,216,0.5334864972061867,0.6839404880715578,0.3889898840373999,0.5013083961588648,0.5942258521809928,0.5733474865361502
PS,small microplastic,fragment,pristine,216,0.5365231583354001,0.6584150120696399,0.4351813517953592,0.513810741285869,0.5724765557190941,0.572916094765465
PS,submicron-to-small,sphere,pristine,216,0.5327247141200677,0.49882924990420424,0.6498950726676682,0.5446727051144746,0.5367351448676758,0.5719807286204236
PET,nano-scale,sphere,pristine,432,0.5212184705731284,0.3955402485482633,0.7452014035529895,0.5476718041088828,0.5356348745659982,0.5714177928334218
PVC,larger microplastic,sphere,UV-aged,216,0.6009967651603398,0.6551009771302497,0.3934788923191057,0.5244721964551149,0.5206749922698679,0.5712750092488498
PS,larger microplastic,fiber,pristine,216,0.5284738995227317,0.7625404150795225,0.2992324720875522,0.4920361579755035,0.5934441807259844,0.5694535399954672
PE,nano-scale,sphere,pristine,432,0.5264419847920384,0.4693766693155855,0.735343597481291,0.5624817464408378,0.5200778572655848,0.5692815381649771
PET,small microplastic,fiber,pristine,216,0.5145364972061867,0.6682557054628623,0.38523874290893356,0.4940460972985858,0.5920471625229091,0.5679554313379229
PP,nano-scale,sphere,pristine,432,0.5242169847920383,0.4566918867068899,0.7345726368161446,0.5589635017195547,0.5190223838491997,0.5677423771266115
PE,small microplastic,fiber,pristine,216,0.5204443681955845,0.7395574715246738,0.3778820765151703,0.5090994505928191,0.5765631685111791,0.5660722245808295
PET,larger microplastic,sphere,UV-aged,216,0.5820467651603399,0.6394161945215541,0.38971228895652416,0.5172052589246013,0.5184949110107138,0.5658816037337173
PP,small microplastic,fiber,pristine,216,0.5182193681955846,0.726872688915978,0.37695317840531856,0.5055338246381245,0.5754934807247708,0.564519270865418
PE,larger microplastic,sphere,UV-aged,216,0.587965342211473,0.7106783085028647,0.3823978031302474,0.5322633359729805,0.5030123341252275,0.5640026222530022
PP,larger microplastic,sphere,UV-aged,216,0.585740342211473,0.6979935258941692,0.3814646688850064,0.5286964391776691,0.5019422650866341,0.562449298595887
PVC,small microplastic,fragment,pristine,216,0.5171826631413595,0.6287139475709173,0.42444708346042287,0.5009002478856436,0.5586034076990264,0.5616030583050015
PVC,submicron-to-small,sphere,pristine,216,0.5132559143639142,0.4696033874873819,0.6389958980620428,0.5318077802494225,0.5228756674081602,0.560646799634902
PVC,larger microplastic,fiber,pristine,216,0.5091650643115947,0.7327220913848614,0.29030031652630484,0.47964284656819706,0.5797261873037924,0.5582994838041465
PS,larger microplastic,fragment,pristine,216,0.5124117808247612,0.7064186324794135,0.33255826881794265,0.49080954047459885,0.5575761954757129,0.5575352053742497
PET,small microplastic,fragment,pristine,216,0.4982326631413596,0.6130291649622216,0.42059102107779167,0.4936064726491151,0.5564152751280679,0.5562018403336482
PET,submicron-to-small,sphere,pristine,216,0.4943059143639142,0.4539186048786863,0.6353418308715421,0.5245746035705332,0.5207057144044933,0.5552632219036774
PE,small microplastic,fragment,pristine,216,0.5041199928027931,0.6844070100164937,0.41287065194554173,0.5085659309202947,0.5409031126094217,0.5542858321773656
PE,submicron-to-small,sphere,pristine,216,0.4999258147544634,0.526286928714011,0.6261221399639856,0.5392823610653311,0.5051180416529327,0.5532027480366082
PET,larger microplastic,fiber,pristine,216,0.49021506431159473,0.7170373087761659,0.2870479082597617,0.472530167566495,0.5775923836032819,0.552950982946751
PP,small microplastic,fragment,pristine,216,0.501894992802793,0.6717222274077982,0.4119131278535834,0.5049917171709679,0.5398308484846237,0.5527303785549366
PP,submicron-to-small,sphere,pristine,216,0.4977008147544634,0.5136021461053153,0.6251967881946852,0.5357177990128019,0.5040486730371739,0.5516501040231169
PE,larger microplastic,fiber,pristine,216,0.49616913811900537,0.7881679532897817,0.28097164298593413,0.48793341688706987,0.5622133583994544,0.55118193113981
PP,larger microplastic,fiber,pristine,216,0.49394413811900534,0.7754831706810861,0.28017219987882386,0.4844066274331977,0.5611553215632926,0.5496402827297877
PS,small microplastic,sphere,pristine,216,0.49645249076422154,0.591873040111042,0.456927727335621,0.503576259556228,0.5164062112002017,0.5480948260783506
PVC,larger microplastic,fragment,pristine,216,0.4930967190218392,0.6766233702358073,0.3230566484570787,0.4782500019176184,0.5438083339086188,0.546331102802557
PET,larger microplastic,fragment,pristine,216,0.4741467190218393,0.6609385876271118,0.31960492545859265,0.4710775284963335,0.5416565918822334,0.540965195789621
PE,larger microplastic,fragment,pristine,216,0.48008764232774165,0.7321179377018694,0.31306405227819606,0.486351136557166,0.5262386743004831,0.539154904456234
PP,larger microplastic,fragment,pristine,216,0.4778626423277416,0.7194331550931737,0.3122135504232933,0.48280902947895604,0.5251760421770202,0.5376087970857671
PVC,small microplastic,sphere,pristine,216,0.47710730701359944,0.5621893406366957,0.4460488489864865,0.4906258561566184,0.5025210901803189,0.5367689236191141
PS,larger microplastic,sphere,pristine,216,0.4726245020142784,0.6388270725182386,0.3542996486232561,0.4803636424239578,0.5014424260605207,0.5327278377817174
PET,small microplastic,sphere,pristine,216,0.45815730701359947,0.546504558028,0.4421480709514939,0.4833186662243815,0.5003289332006479,0.53136380062984
PE,small microplastic,sphere,pristine,216,0.4640347781087437,0.6179189162907507,0.43425952406313173,0.498234973810423,0.4848038254764602,0.5294326067396884
PP,small microplastic,sphere,pristine,216,0.46180977810874363,0.6052341336820551,0.4332892141209274,0.49465692430602254,0.4837304106251401,0.5278760365289574
PVC,larger microplastic,sphere,pristine,216,0.45330944021135655,0.6090318102746324,0.34450136383668856,0.46771510453926635,0.48764786469511323,0.521497827505728
PET,larger microplastic,sphere,pristine,216,0.4343594402113566,0.5933470276659366,0.34093734280857746,0.46050894170909396,0.4854860158460615,0.5161221135058649
PE,larger microplastic,sphere,pristine,216,0.44030036351725893,0.6645263777406945,0.3341772060476152,0.4757167706957568,0.4700483645420604,0.5142926738839871
PP,larger microplastic,sphere,pristine,216,0.43807536351725884,0.6518415951319988,0.3332975401557961,0.47216591440647193,0.4689831076552749,0.5127440196181763
