polymer,size_class,shape,aging,n_scenarios,mean_interaction_risk,mean_final_A_MLN,mean_final_A_macrophage,mean_final_A_systemic,mean_AUC_MLN,mean_lymphatic_burden_index
PET,nano-scale,sphere,oxidized,432,0.635566215778108,0.6773495511866572,1.6561132515500085,1.679875025343321,107.66957544055855,0.30425442775719413
PE,small microplastic,fragment,UV-aged,216,0.6043205279153903,0.6961945817692661,1.58734842195268,1.6295121567777258,110.61630339654721,0.30383606710415756
PP,small microplastic,fiber,UV-aged,216,0.6144373884677863,0.6977026939728865,1.6287136568501164,1.575508363632876,110.86755111005174,0.30284272300680687
PVC,small microplastic,fiber,oxidized,216,0.6397602742290552,0.6870872591113802,1.7206203321651945,1.548840202242816,109.22142194612877,0.30133007789459215
PS,small microplastic,fragment,UV-aged,216,0.6230112916857536,0.6842961771584356,1.6524050497736682,1.5832891494689112,108.76858699040449,0.3005731264756907
PE,small microplastic,sphere,oxidized,216,0.5959682468777632,0.6831383985393706,1.526077632387237,1.6848489269067437,108.50518610838779,0.2993134497096563
PVC,nano-scale,fragment,pristine,432,0.6041646197830759,0.6765043051398584,1.5286932008807033,1.5746200786121707,107.53586666770161,0.2985354927502742
PP,small microplastic,fragment,UV-aged,216,0.6027629042934125,0.6844865936763854,1.557746338357531,1.600224118969857,108.74464031627593,0.2975830822625575
PVC,submicron-to-small,fiber,pristine,216,0.5991808352942514,0.6815177076416598,1.5297068665506126,1.5182973458997835,108.33038115685713,0.2973485511407985
PET,submicron-to-small,sphere,oxidized,216,0.620826316358965,0.6682001983129107,1.5857281094857163,1.6444161708831524,106.1854593457944,0.2968188727033797
PP,nano-scale,sphere,pristine,432,0.5677423771266115,0.6758165150128008,1.3862930433848424,1.658980091123867,107.34556796838879,0.2967604402042048
PVC,submicron-to-small,sphere,UV-aged,216,0.6103993797989516,0.6678563254323168,1.5447216803197727,1.6373855373331816,106.12187220217272,0.29561499845562295
PS,small microplastic,sphere,oxidized,216,0.6146754667749795,0.6705074274996906,1.5880151912277465,1.6316404975510315,106.53883586631844,0.2952591324948868
PVC,small microplastic,fragment,oxidized,216,0.628131446598953,0.6722814243414352,1.6425065761713271,1.5671485011624202,106.84223416552966,0.29482307509775413
PET,nano-scale,sphere,UV-aged,432,0.6205002163907994,0.6601292367643787,1.5586593790719994,1.6267613580278204,104.90659798459285,0.2932053221322057
PP,small microplastic,sphere,oxidized,216,0.5944102016872533,0.6711504858333711,1.496464354585697,1.653449366468763,106.58902425229633,0.292816989044911
PS,nano-scale,sphere,pristine,432,0.5880021153403776,0.6641560571181846,1.4496176598058919,1.6109421364475423,105.53335980440478,0.29257951374762914
PET,small microplastic,fiber,oxidized,216,0.6343536050983501,0.671153358843562,1.663175644814013,1.508246977944767,106.67198106739934,0.29224421231259573
PE,submicron-to-small,sphere,pristine,216,0.5532027480366082,0.6667942542106121,1.3265520899810253,1.6266670921051087,105.8773296436372,0.2893131240107441
PVC,small microplastic,fiber,UV-aged,216,0.6233203335614939,0.6661058576252658,1.6077505148571631,1.4897485176079461,105.8530906070009,0.2880707141914378
PE,larger microplastic,fiber,oxidized,216,0.6173053464925211,0.6750258371107932,1.5929404301570187,1.5270603288695401,107.20331300521546,0.2877821450464187
PET,nano-scale,fragment,pristine,432,0.59884249092501,0.6566059464699836,1.4684882866051039,1.5237481919861975,104.35304973915906,0.2871620872655124
PET,submicron-to-small,fiber,pristine,216,0.5937854397853845,0.6634208460318752,1.4737842512465777,1.4734068887951144,105.43569528163256,0.2871393959299578
PS,larger microplastic,fiber,oxidized,216,0.6357715336388698,0.6665477354818532,1.664884675209582,1.4922876623334103,105.90585427713651,0.2867970609422538
PE,small microplastic,sphere,UV-aged,216,0.5795122097326052,0.6625771086479348,1.4246208583084974,1.62304094027189,105.2049313306437,0.28647658755906485
PET,small microplastic,fragment,oxidized,216,0.6227221886879486,0.6559930718426544,1.585935348614458,1.5245777632628608,104.23665751790722,0.28545599551098216
