polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PS,nano-scale,sphere,pristine,432,0.43934570696157954,0.439332316616683,0.01556815578929434,0.006049382716049383,0.2846990740740741,0.050650947472703836,0.8587962962962963
PP,submicron-to-small,fragment,pristine,216,0.4387845632846115,0.4388009587056659,0.015553313277988255,0.008719135802469136,0.2893827160493827,0.050813685536646946,0.8379629629629629
PVC,submicron-to-small,fragment,pristine,216,0.43781443128960745,0.4377919149555052,0.01548378501802917,0.005432098765432099,0.28425925925925927,0.05044299754825935,0.8472222222222222
PET,larger microplastic,fiber,UV-aged,216,0.43769366785340413,0.4377113074638919,0.015485743664894346,0.004799382716049383,0.2817746913580247,0.050607362903861475,0.8425925925925926
PS,larger microplastic,sphere,oxidized,216,0.4374600945247365,0.4374275702293588,0.015508317297311992,0.006975308641975309,0.28425925925925927,0.05059612756861219,0.8472222222222222
PET,small microplastic,sphere,oxidized,216,0.4358678480507881,0.43603723754890594,0.01544728465958779,0.005123456790123457,0.2790432098765432,0.050155999447829495,0.8379629629629629
PE,larger microplastic,fragment,UV-aged,216,0.4343997210915586,0.4343528762091631,0.015356551908596123,0.0070987654320987656,0.27708333333333335,0.05014550393662874,0.8379629629629629
PS,small microplastic,fiber,pristine,216,0.43354034309144124,0.43354795282321157,0.015392065558759879,0.004768518518518518,0.2732253086419753,0.05004508942746515,0.8379629629629629
PVC,larger microplastic,fragment,UV-aged,216,0.43277400453028775,0.43280940200803963,0.015318728673717754,0.0035802469135802466,0.2692901234567901,0.05003703894349947,0.8379629629629629
PP,larger microplastic,fragment,UV-aged,216,0.43145699743243376,0.4314796227168061,0.01524046511039718,0.005216049382716049,0.27024691358024694,0.04956500695268454,0.8379629629629629
PET,submicron-to-small,fragment,pristine,216,0.43108645220643105,0.431055333377207,0.015219203265587244,0.002824074074074074,0.2659259259259259,0.049465200218406565,0.8518518518518519
PE,nano-scale,sphere,pristine,432,0.43086889252546606,0.4309012997436328,0.015276271000443402,0.00533179012345679,0.2685648148148148,0.04975570878908452,0.8425925925925926
PE,small microplastic,sphere,UV-aged,216,0.4306421359004578,0.43057857794498994,0.015233120669792226,0.0066049382716049385,0.26967592592592593,0.049576701791578026,0.8240740740740741
PVC,small microplastic,sphere,UV-aged,216,0.4278467566144925,0.4278234534815399,0.015082822402099929,0.0027006172839506176,0.25882716049382715,0.04911358366059299,0.8472222222222222
PP,small microplastic,sphere,UV-aged,216,0.42745777640577753,0.4274688702363813,0.015154605730737961,0.004429012345679013,0.2621604938271605,0.04937449396459957,0.8240740740740741
PP,nano-scale,sphere,pristine,432,0.4271420270057809,0.42710914977019643,0.015192962456892408,0.0031712962962962966,0.25838734567901234,0.04953685726171666,0.8356481481481481
PET,larger microplastic,fragment,UV-aged,216,0.4266667787974189,0.42664706520775797,0.015070544804823612,0.0018209876543209878,0.25253086419753085,0.049159618642554415,0.8379629629629629
PE,larger microplastic,sphere,oxidized,216,0.4258381684072238,0.42574180328175376,0.015047657746927677,0.004660493827160494,0.25765432098765434,0.048991667480070215,0.8148148148148148
PS,submicron-to-small,sphere,pristine,216,0.4251138902782379,0.4252090917354658,0.01507876316962205,0.0022222222222222222,0.2525154320987654,0.04923941950722704,0.8425925925925926
PVC,nano-scale,sphere,pristine,432,0.4245138953677187,0.42462194377421486,0.014983690182268928,0.001080246913580247,0.24652006172839508,0.048795423053749315,0.8495370370370371
PVC,larger microplastic,sphere,oxidized,216,0.4239282915262258,0.42397704782776946,0.014964577555938845,0.001743827160493827,0.24725308641975308,0.0488247623313951,0.8379629629629629
PP,larger microplastic,sphere,oxidized,216,0.4228319627248914,0.4228089448124469,0.014971253087319938,0.002746913580246913,0.248858024691358,0.04889723545261354,0.8333333333333334
PS,larger microplastic,sphere,UV-aged,216,0.42262573105341344,0.422761005930012,0.014988964975463688,0.0018672839506172839,0.24709876543209877,0.04899725603079353,0.8379629629629629
PS,small microplastic,fragment,pristine,216,0.4221954291736973,0.4221681901904819,0.014927714466934217,0.0016820987654320991,0.2466358024691358,0.04867114785520533,0.8240740740740741
PE,small microplastic,fiber,pristine,216,0.4221488780614998,0.4221458102920926,0.014896919795816477,0.0027777777777777783,0.24699074074074076,0.04849171389072603,0.8333333333333334
PET,small microplastic,sphere,UV-aged,216,0.4214258382573464,0.42145043009252453,0.01480740070783465,0.0010339506172839506,0.24117283950617285,0.04822942854101298,0.8518518518518519
PVC,small microplastic,fiber,pristine,216,0.4201583941319067,0.42012375409044966,0.01489302278387123,0.0009567901234567902,0.23763888888888887,0.04857515938311755,0.8425925925925926
PP,small microplastic,fiber,pristine,216,0.41916002744555103,0.41921323908232694,0.014802456125111956,0.0021296296296296293,0.23890432098765432,0.04819947717194183,0.8240740740740741
PET,larger microplastic,sphere,oxidized,216,0.4177386231421228,0.4177845512362572,0.014776039798490922,0.0006944444444444446,0.2310030864197531,0.048194044413280325,0.8425925925925926
PET,nano-scale,sphere,pristine,432,0.4175315990924917,0.41757809952994296,0.014689059074599374,0.0002546296296296296,0.22781635802469136,0.04792114416730096,0.8587962962962963
PE,submicron-to-small,sphere,pristine,216,0.41540597408618246,0.41535255203400034,0.014717957524372006,0.001558641975308642,0.23288580246913582,0.04790081537998857,0.8101851851851852
